appId,decision_self
com.creativephotoeditors.homeexteriorphotoframe,NO
com.dartmouthhitchcock.android,NOT_SURE
com.dating.hookup.androids,YES
com.dbestapps.newyearphotoframes,NO
com.ddog.framephotocollage,NO
com.dj.pad.music.pushpad.electro.house,NO
com.droidheads.voicemailtoothfairyfree,YES
com.duy.pascal.compiler,NO
com.ea.image.text,NO
com.edelweiss.hijabkebayamuslimcamera,YES
com.elvison.batterywidget,YES
com.eniro.nauticalar,YES
com.etl.eprocmobapp.procuretiger,YES
com.eurotalk.uTalk,NO
com.evergreen.zsilentCamera_plus,YES
com.examaxin.recorderscrrenredmoh.huncinmohsr,NO
com.eyenetra.netrometer.netra,YES
com.fieldbit,NO
com.filters.forMusically.filters4musically,NO
com.foremostmedia.hallcrestRinseCheck,NO
com.foursquare.robin,YES
com.fredmeyer.mobile,NO
com.frontstar.birthdayphotoframe.photoframe,YES
com.frontstar.men.pro.shirt.photo.suit,YES
com.galleryvault,YES
com.gamestar.perfectpiano,YES
com.gamevil.zenonia4.global,NO
com.gec.TerraApp.Terra,YES
com.gecor.MolinaSegura,NO
com.geekyouup.android.widgets.battery,YES
com.github.skyfe79.lovely.film,YES
com.gl.senza,YES
com.glympse.android.auto,NOT_SURE
com.glympse.android.glympseexpress,NO
com.gogetcorp.roomdisplay.v6,NO
com.google.android.apps.classroom,YES
com.google.android.wearable.app,YES
com.gpsmycity.android.u20,NO
com.gpsmycity.android.u35,NO
com.gtype.harirayaphotoframe,NOT_SURE
com.gurtam.wiatag,YES
com.healthinteract.myinteract,NO
com.hovans.autoguard,YES
com.ikeyboard.theme.robotcat,NOT_SURE
com.ikompoz.android.instant_translator,NO
com.imagenes.luto,NO
com.imvu.mobilecordova,NO
com.inglesdivino.imagestovideo,NO
com.jm.livetrips,NO
com.kaldroid.bbf,NO
com.katsana.apps.android,NO
com.kayak.studio.gifmaker,YES
com.keepandshare.keepshare,NO
com.keyboard.theme.drops,YES
com.kisscarservice.mobile.android,NO
com.knowyourcustomer.idcheck,NOT_SURE
com.lancofcu.grip,NO
com.lifesaverapp,YES
com.lighthouse1.mobilebenefits.pyx,YES
com.lily.times.tweenshusky.all,NO
com.lonelycatgames.Xplore,YES
com.looket.jkids,NOT_SURE
com.mcb.chennaiparent.activity,YES
com.miccron.coinoscope,YES
com.mobisys.biod.questabird,NO
com.mobpixel.photo.editorfordancer,YES
com.mrsoft.dgagrawal,NOT_SURE
com.mtdata.UnicityWinnipeg,NO
com.munwarapps.lovelycouplephotosuit,NO
com.mvltr.animaleyemask,YES
com.nanamusic.android,NO
com.neaststudios.procapture.free,YES
com.next.womendayphotoframes,NO
com.nochinodigital.smokerreducer,NO
com.nuance.powershare_mobile,NO
com.occhipinti.patrick.pocketsos,NO
com.odnklassac.weathermenow3,NO
com.olo.cousins,NOT_SURE
com.omgm.easytaxi.android.driver,NO
com.owngames.agentdodge,NOT_SURE
com.parrot.freeflightthermal,NO
com.peacehealthrides,YES
com.performancephones.crewnerd,NOT_SURE
com.photolabs.instagrids,YES
com.playonrecorder.cloudapp,NOT_SURE
com.pmqsoftware.game.en.only.one,NO
com.punchh.smashburger,NOT_SURE
com.rayg.sirens,YES
com.readwhere.whitelabel.punjabitribune,NO
com.rentcars.rentcarscom,NO
com.sahibtibba.pipcamera,NOT_SURE
com.sanaedutech.madurai,YES
com.sarihiari.pinnr,YES
com.scoompa.collagemaker.video,YES
com.selfpoint.koshervillage,NO
com.servizing.society,YES
com.shark.hdphotoframes,NO
com.shearshare.android,NO
com.si.junagadhtourism,NO
com.skymet.collect.android,NO
com.smartfm_reach.al_majaz,NO
com.smartphoneremote.androidscriptfree,YES
com.smsBlocker,YES
com.smsrobot.selfie,NO
com.snappii_corp.vehicle_inspection_and_maintenance,NO
com.srapps.quotesnjokeslitenew,YES
com.stsa.info.androidtracker,NO
com.sunny.see.moon.valentines.day.photo.frames.eighteen.thisyear,NOT_SURE
com.sweetringplus.android,YES
com.swg.qfmmobile,NOT_SURE
com.synchronoss.pcloud.android.syncdrive,YES
com.synerdream.pocketsinger,NOT_SURE
com.szs.cinema.uae,NO
com.tanishka.jesus.photoframes,NO
com.tapevoice,YES
com.tecogis.lead_retrieval,NO
com.tellody,NOT_SURE
com.tinybeans,NO
com.titan.tpnature,NO
com.tomatomusic.newringtones,NO
com.topmobileringtones.gangsterringtonesfree,YES
com.topstar.jacket.men.photo.suit,NO
com.touchnote.android,NO
com.tracker.mushroom,YES
com.trackyapps.street_lens,NO
com.trimble.outdoors.tnm.android,NO
com.tsm.us1031,NO
com.tsm.wfgr,NO
com.tss21.interpreter.sea,NO
com.tuangiao.tumblrdownloader,YES
com.ulm.circuitcalculator,NO
com.velan.xmaspipfx,YES
com.ventipix.assetManager,NO
com.verizon.messaging.vzmsgs,NO
com.vidates.vid_lite,YES
com.video.master,YES
com.voolenstudios.Waterfall.photo.editor,YES
com.vtcreator.android360,NO
com.wallpapergalaxys9.galaxys9,NOT_SURE
com.wbff.android.weather,NOT_SURE
com.weddingcolors.devoscar.app,YES
com.wildfire.wildfire,NO
com.wonderfulgames.talkingcatleo,NOT_SURE
com.woodlandscenics.modelinventory,NO
com.xenstudios.army.photosuit,NO
com.yale.homeview,YES
com.yellowpages.android.gas,NO
com.youngmedia.wlns,NOT_SURE
com.zenithBank.eazymoney,NO
com.zuidsoft.loopstation2,NOT_SURE
coocent.tools.voicerecorder,NOT_SURE
crazy.snap.photo.effect.editor.snap.pic.collage.insta.square.snap.effect.app.free,YES
cyb.satheesh.annauniversitysyllabusr08,NOT_SURE
cz.pmqvyuka.anglictina.slovicka1,NO
de.envire.jwankel.pitchtuner,NO
edu.ecu.pirateportmobile,NOT_SURE
errows.photoeditor.spring,YES
errows.photoeditor.sunglassesphotoeditor,YES
eu.aagames.widget.battery.beautiful,NO
freeappshouse.capridresspantpentwomenfashion,NO
gr.pixelab.sketch,YES
ie.flipdish.stefsfishandchips,NO
il.co.smedia.callrecorder.yoni,NO
io.moonlighting.pixslider,YES
it.mobistego,NO
led.android.bostoncoffeehouse,YES
led.android.littlebangkok,NO
ma.mazdev.adanmuslim,NO
mountainpixels.anniversarygif.phframe,NO
ms.dev.luaplayer_va,YES
net.applabsinc.android_adultcoloringbookinspirationart,NO
net.serverdata.ringscape,NOT_SURE
net.therap.app,NO
nl.fotoview.shatter,NO
org.carolinashealthcare.onecarolinas,NO
org.geogebra.android.g3d,YES
org.ibeccato.photoczip,NO
org.prowl.wifiscanner,YES
pixel.art.no.draw.color.by.number.sandbox.coloring,NO
radonsoft.net.soundcheck,NO
radonsoft.net.spectralview,NO
regola.flagmii,NOT_SURE
talking.toy.santa.claus,NOT_SURE
timeclock365.live,NO
tools.photo.hd.camera,NOT_SURE
tuneself.android.reverse.talk.backward.free,NO
uk.co.piota.schools,NO
us.plurib.youarehere,NO
video.player.hd.videoplayer,YES
video.player.mediaplayer.hdvideoplayer,YES
yong.tools.life.weather,YES
